"ADÉLE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFNAN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","0 015","0 013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGNES","0 222","0 256","0 271","0 362","0 397","0 441","0 472","0 476","0 921","0 618","0 580","0 575","0 586","0 570","0 570","0 581","0 668","0 549","0 567","0 541","0 528","0 555","0 510","0 471","0 402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHLAM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 012","0 012","0 010","0 010","-","0 011","-","-","0 013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AICHA","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIDA","0 015","0 020","0 016","-","0 010","-","0 010","0 014","0 013","0 011","0 012","0 011","0 013","0 014","0 013","0 018","0 012","0 011","0 013","0 020","0 021","0 018","0 027","0 016","0 016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AILA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 011","-","-","0 011","0 018","0 016","0 022","0 017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AILI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 014","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AINA","-","-","-","-","-","-","0 016","0 012","0 015","0 013","0 012","0 014","0 010","0 011","-","0 012","0 015","0 011","0 015","-","0 013","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AISHA","0 014","-","0 010","0 012","0 015","0 013","0 028","0 033","0 026","0 026","0 052","0 044","0 043","0 054","0 068","0 080","0 080","0 112","0 082","0 095","0 089","0 089","0 081","0 082","0 075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJLA","0 015","0 010","-","-","0 022","0 018","0 028","0 027","0 026","0 026","0 019","0 016","0 019","0 022","0 017","0 027","0 024","0 017","0 023","0 014","0 017","0 017","0 012","-","0 019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJNA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 010","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALBA","-","-","0 014","0 014","0 022","0 014","0 017","0 019","0 023","0 015","0 028","0 032","0 025","0 033","0 033","0 033","0 052","0 047","0 067","0 063","0 053","0 115","0 114","0 247","0 320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALBINA","-","-","-","-","0 014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
